40;"PySide - Develop System GUI";"Venkateshwaran Loganathan (anandvenkat4)"=
;271
41;"Topic Modeling For Fun and Profit";"Radim Rehurek (Radim)";274
42;"Test Driven Deployment with Nose Test and ipython";"Roberto Polli (robe=
rto.polli)";248
43;"Design Your Tests";"Julian Berman (Julian)";204
44;"Morepath: a Python Web Framework with Super Powers";"Martijn Faassen (f=
aassen)";284
46;"Web Scraping in Python 101";"M.Yasoob Khalid (yasoob)";293
47;"Twisted Names: DNS Building Blocks for Python Programmers";"Richard Wal=
l (rwall)";294
48;"Jython in practice";"Fredrik H=C3=A5=C3=A5rd (haard)";299
49;"Data point traceability through data annotation";"Fredrik H=C3=A5=C3=A5=
rd (haard)";299
50;"Procrastination makes you better: Life of a remotee";"Flavio Percoco (f=
laper87)";54
51;"Open Source isn't for everyone, but it could be";"Ashe Dryden (ashedryd=
en)";306
52;"Discovering nets with python";"Pietro Brunetti (gunzapper)";307
53;"Shape your working environment to your needs with NINJA-IDE";"Diego Sar=
mentero (diegosarmentero)";208
54;"tracking everything with graphite";"aybars badur (ybrs)";309
55;"Python in system testing";"Katarzyna Jachim (katarzynaanna)";314
56;"Realtime Reactive WebApplications with Python and TurboGears";"Alessand=
ro Molina (amol)";107
57;"Database abstracted applications with Sprox";"Alessandro Molina (amol)"=
;107
58;"Teaching kids Python through the metaphor of a 3D puzzle";"Dave Stanton=
 (gotoplanb)";100
59;"Improving your automated testing with pytest";"holger krekel (hpk42)";2= 75
60;"Pioneering the Future of Computing Education";"Ben Nuttall (ben_nuttall=
)";209
61;"Python Debugger Uncovered";"Dmitry Trofimov (traff)";358
62;"Multiplatform binary packaging and distribution of your client apps";"j=
uliass (hithwen)";35
63;"Ansible - the simplest way to automate";"Grzegorz Nosek (gnosek)";366
64;"Image Tampering Detection using Python";"Nishita Tanwar (Nishita)";367
65;"Windows 8 apps using Javascript made easy ";"Nishita Tanwar (Nishita)";= 367
66;"First app development using PyCharm";"Nishita Tanwar (Nishita)";367
67;"Learning Chess from data";"Niv (nivm)";302
68;"What to do when you don't know (yet)";"Niv (nivm)";302
69;"Integrating Python and C++ with Boost.Python";"Austin Bingham (abingham=
)";382
70;"Teaching Python to Programmers";"Austin Bingham (abingham)";382
71;"Python refactoring with Rope and Traad";"Austin Bingham (abingham)";382
72;"packaging and testing with devpi and tox";"holger krekel (hpk42)";275
73;"RESTful services with pyramid and cornice";"tomster";387
74;"Deploying and managing FreeBSD jails with mr.awsome, fabric and ansible=
";"tomster";387
75;"The Return of ""The Return of Peer to Peer Computing"".";"Nicholas Toll=
ervey (ntoll)";58
76;"Messaging with Python: Code your way with emails and sms";"Poke Fan (pr=
amttl)";310
77;"Working with Git repositories with pygit2";"Carlos (cmn)";397
78;"[WITHDRAWN] Webhooks for the masses";"Hallett (phalt)";206
79;"Design and implementation of a novel source code reuse system";"Diego (=
drodri)";405
80;"Jigna: a seamless Python-JS bridge to create rich HTML UIs for Python a=
pps";"Prashant Agrawal (prashant)";215
81;"Everything You Always Wanted to Know About Memory in Python But Were Af=
raid to Ask";"Piotr Przymus  (eror)";292
82;"WeIO - Web of Things Platform";"Drasko DRASKOVIC (drasko)";409
83;"Big Data Analytics with Python using Stratosphere";"rmetzger";190
84;"What if something goes wrong ?";"Ultrabug (ultrabug)";173
85;"Robot Framework: from theory to mastery";"Andrea De Marco (z4r)";349
86;"Embedding Python: Charming the Snake with C++";"Michael K=C3=B6nig (Mat=
hMagic)";410
87;"Writing Awesome Command-Line Programs in Python";"Mark Smith (judy2k)";= 423
88;"Extending Scikit-Learn with your own Regressor";"Felix Wick (fwick)";430
89;"How to Setup a new Python Project";"Felix Wick (fwick)";430
90;"Supercharge your development environment using Docker";"Deni Bertovic (=
denibertovic)";429
91;"Rethinking packaging, development and deployment";"Domen Ko=C5=BEar (iE=
lectric)";182
92;"Mobile Games to the Cloud With Python";"Darko Ronic (darko.ronic)";246
93;"Gamers do REST";"Angel (limpangel)";172
94;"How to handle caching in production";"Michael (mdomans)";453
95;"django CMS tutorial";"Patrick Lauber (digi604)";480
96;"Elasticsearch from the bottom up";"Alex Brasetvik (alexbrasetvik)";504
97;"Fast code with the Cython compiler";"Stefan Behnel (stefan)";240
98;"Logic Programming in Python";"Pierre Carbonnelle (pcarbonn)";569
99;"Scaling with Ansible";"Federico Marani (flagzeta)";583
100;"Developing for OpenStack in Python";"Adolfo Brandes (arbrandes)";427
101;"When code hits the real world";"Theuni (ctheune)";580
102;"Documenting your project with MkDocs.";"Tom Christie (tomchristie)";189
103;"How I turned Python code into an user friendly package";"X. Ordoquy (l=
inovia)";188
104;"The future of the programmable Web.";"Tom Christie (tomchristie)";189
105;"RISCy Business: Development of a RNAi design and off-target prediction=
 software";"Stefanie L=C3=BCck (ete)";63
106;"Automating Microsoft Excel with Python";"Bernhard (Friday)";221
107;"Full Stack Python";"Matt (mattmakai)";671
108;"Python Driven Company";"Maciej (macieksobczak)";407
109;"Design considerations while Evaluating,Developing and deploying a dist=
ributed task processing system";"konarkmodi";99
110;"Einf=C3=BChrung in Sphinx";"juh";180
111;"Event discrete simulation with SimPy";"Stefan (ssc)";368
112;"ZeroMQ =E2=80=93=C2=A0Zero Problems?";"Stefan (ssc)";368
113;"Storing scientific data with HDF5";"Stefan (ssc)";368
114;"DevAssistant";"Tom=C3=A1=C5=A1 Rad=C4=9Bj (tradej)";365
116;"HL7apy: a new Python library for the healthcare industry";"Vitto (svit=
uz)";245
117;"Pythonista: A full-featured Python environment for iOS devices";"Chris=
 Clauss (ccc)";689
118;"Compress Me, Stupid!";"Francesc Alted (FrancescAlted)";695
119;"Out-of-Core Columnar Datasets";"Francesc Alted (FrancescAlted)";695
120;"An intro to Blender modeling and scripting ";"synasius";110
121;"Test Driven Infrastructure";"Schlomo Schapiro (schlomo)";696
122;"Ideas for extensions to scikit-learn and its interface";"B. Daniel (bd=
aniel)";445
123;"Django REST framework: An architectural overview.";"Tom Christie (tomc=
hristie)";189
124;"Meta-estimators and advanced machine-learning pipelines";"Martin (mhah=
n)";701
125;"Cutting-edge APIs using hypermedia at BSkyB";"Adriana Vasiu (adriana.v=
asiu)";224
127;"Using All These Cores: Transactional Memory in PyPy";"Armin Rigo (arig=
o)";119
128;"PyPy status talk (a.k.a.: no no, PyPy is not dead)";"Armin Rigo (arigo=
)";119
129;"GNU/Linux Hardware Emulation with Python";"whitone";702
130;"Discovering distributed task queue in its simplest form using Retask "=
;"Kushal Das (kushaldas)";711
131;"Teaching Python: To infinity and beyond";"Kushal Das (kushaldas)";711
132;"The gentle art of code review";"Nikola Dipanov (djipko)";388
133;"gevent: asynchronous I/O made easy";"Daniel Pope (lordmauve)";144
134;"Games Programming Workshop";"Daniel Pope (lordmauve)";144
135;"Scientific Visualization with GR";"Josef (j.heinen)";599
136;"3D sensors and Python: A space odyssey";"Celia (celiacintas)";55
137;"Using Tuskar to deploy OpenStack on OpenStack";"Dougal Matthews (douga=
l)";131
138;"Out of the box websites with Nive cms";"Arndt Droullier (adroullier)";= 715
139;"The Shogun Machine Learning Toolbox";"Heiko (karlnapf)";83
140;"Configuring and deploying your application using Ansible";"gautier";713
141;"Designing NRT(NearRealTime) stream processing systems : Using python w=
ith Storm and Kafka.";"konarkmodi";99
142;"Traversing Mazes the pythonic way and other Algorithmic Adventures";"V=
alerio Maggio (valerio-maggio)";250
143;"(Big) Data-intensive computation with Python";"Valerio Maggio (valerio=
-maggio)";250
144;"Farewell and Welcome Home: Python in Two Genders";"Naomi Ceder (nceder=
)";396
145;"Python 3 for data science: what works, what doesn't";"Valerio Maggio (=
valerio-maggio)";250
146;"log everything with logstash and elasticsearch";"Peter Hoffmann (hoffm=
ann)";722
147;"Post-Mortem Debugging with Heap-Dumps";"Anselm Kruis (akruis)";252
148;"Using App Engine to Wrangle Python Issues";"Dmitry Jemerov (yole)";724
149;"Python 3 Web Apps for Cloud or On-Premise";"Slavek Kabrda (slavek)";134
150;"Python for Zombies: 10.000 enrolled in the first Brazilian MOOC to tea=
ch Python";"Fernando Masanori Ashikaga (fmasanori)";46
151;"Starting a Python User Group";"Marc-Andre Lemburg (lemburg)";135
152;"Scikit-learn to ""learn them all""";"Valerio Maggio (valerio-maggio)";= 250
153;"Communicate securely with pyOpenSSL";"Marc-Andre Lemburg (lemburg)";135
154;"Introduction to Python Database Programming";"Marc-Andre Lemburg (lemb=
urg)";135
155;"Advanced Database Programming with Python";"Marc-Andre Lemburg (lembur=
g)";135
156;"Home Automation with Kivy, Raspberry Pi and MQTT";"Marc-Andre Lemburg =
(lemburg)";135
157;"The next generation Python Software Foundation (PSF)";"Marc-Andre Lemb=
urg (lemburg)";135
158;"RinohType, the Python document processor";"Brecht Machiels (brechtm)";= 124
159;"Large Scale Identification of Race Conditions (In OpenStack CI)";"Joe =
Gordon (jogo)";727
160;"Pyrser, Parse & Type Check for fun and profit.";"auroux lionel (iopi)"= ;117
161;"How Disqus is using Django as the basis of our Service Oriented Archit=
ecture";"adam (northisup)";26
162;"Title: Clamp - Seamless Integration of Python and Java";"Jim Baker (ji=
mbaker)";414
163;"Scalable Realtime Architectures in Python";"Jim Baker (jimbaker)";414
164;"Designing a Python-integrated query language for distributed computing=
";"jiwon";62
165;"Building Realtime Web Applications with WebRTC and Python";"Tarashish =
Mishra (sunu)";31
166;"Python in oVirt";"Saggi Mizrahi (smizrahi)";728
167;"Performance Python for Numerical Algorithms";"Yves (yves)";730
168;"Program ZeroVM for fun and profit";"Muharem Hrnjadovic (al-maisan)";729
169;"Scientific Publishing with Python";"Yves (yves)";730
170;"What Buddha would teach a software developer ...";"Ralph Heinkel (ralh=
ei)";686
171;"Combining the powerful worlds of Python and R";"Ralph Heinkel (ralhei)=
";686
172;"Interactive Analytics of Large Data Sets";"Yves (yves)";730
173;"Solution oriented error handling";"Thomas Aglassinger (roskakori)";679
174;"Financial Modelling in Python";"Yves (yves)";730
175;"Plowing through XML";"Jyrki Pulliainen (jyrki)";733
176;"The Two Cultures and the Programming Revolution";"Josh Ballanco (jball=
anc)";731
177;"Python for System Administrators";"Roberto Polli (roberto.polli)";248
178;"[Withdrawn] Oh Py, Behave!";"Spanarchian (spanarchian)";346
179;"Packaging in packaging: dh-virtualenv";"Jyrki Pulliainen (jyrki)";733
180;"Extract, Transform, Load in Python with mETL";"Bence Faludi (bfaludi)"=
;593
181;"Ganga: an interface to the LHC computing grid";"Matt Williams (milliam=
s)";693
182;"Learn Test-Driven-Development and Django by building a simple web appl=
ication from scratch.";"andrea crotti (andrea_crotti)";251
184;"Introduction to Django class-based generic views";"Klaus Bremer (kbr)"=
;50
185;"Python Generators from Scratch";"Leonardo Giordani (lgiordani)";734
186;"Postage: a RabbitMQ-based Component Python Library";"Leonardo Giordani=
 (lgiordani)";734
187;"[Withdrawn] Let's go with Py2Neo.";"Spanarchian (spanarchian)";346
188;"What makes perfect REST API?";"Pawe=C5=82 Lewtak (pawel.lewtak)";285
189;"Advanced Uses of py.test Fixtures";"Floris Bruynooghe (flub)";495
190;"Not only Django: Content oriented MVC with Plone and Zope Toolkit";"Ma=
urizio Delmonte (miziodel)";648
191;"How Python Enables Testing in Spotify=E2=80=99s Hardware Team";"Michae=
l F=C3=B6tsch (mfoetsch)";705
192;"Getting involved in Open Source: A Beginner=E2=80=99s Perspective";"Ri=
shabh Raj (sharky)";400
193;"Integrating Python and C using CFFI";"Floris Bruynooghe (flub)";495
194;"Extending Python, what is the best option for me?";"Francisco Fern=C3=
=A1ndez Casta=C3=B1o (fcofdez)";175
195;"Hardware Instrumentation with Python and JavaScript for Fun and Profit=
";"Nahuel (D3f0)";738
196;"Graph Databases, a little connected tour";"Francisco Fern=C3=A1ndez Ca=
sta=C3=B1o (fcofdez)";175
197;"Developing a real time Django application with Telegraphy";"Nahuel (D3=
f0)";738
198;"PythonHackers.com: Online Community for Python developers";"Bahadir Ca=
mbel (bcambel)";266
199;"I want to help! How to make your first contribution to open-source.";"=
Julie (jpichon)";377
200;"SQLAlchemy Drill";"Erik Janssens (erikj)";745
201;"Python on Mars";"Franco Carbognani (fcarbogn)";726
202;"ERP and ecommerce at once";"Simone Orsi [simahawk] (simahawk)";751
203;"Amarena a reactive continuous integration framework";"Francisco Fern=
=C3=A1ndez Casta=C3=B1o (fcofdez)";175
204;"Effective data visualisation in 2D with matplotlib";"Bartosz (btel)";7= 10
205;"Einsteigertutorium Python";"Thomas Lotze (tlotze)";549
206;"The best API is no API";"holger krekel (hpk42)";275
207;"There and back again, a hacker's journey into Logic Programming";"alge=
rnon";230
208;"Flexible Reporting and Star-Schema Modeling With Cubes";"Urbanek (Stii=
vi)";39
209;"Concurrent programming with Python and my little experiment";"Benoit C=
hesneau (benoitc)";755
210;"Amanda: A New Generation of Distributed Services Framework";"Jozef (jo=
zef-ve)";373
211;"Reading and writing data with Python";"Thomas Aglassinger (roskakori)"=
;679
212;"Making your first contribution to OpenStack";"Julie (jpichon)";377
213;"Software Testing in Python";"Kristian Rother (k_rother)";723
214;"High Performance Computing in Python: Thinking in Parallel";"V=C3=ADct=
or Gil (vgil)";700
215;"Support Python 2 and 3 with the same code";"Stefan Schwarzer (sschwarz=
er)";673
216;"Automatic code reviews";"carlio";402
217;"High Performance Python";"Ian Ozsvald (ianozsvald)";539
218;"Cubes 1.0: Unifying the Data Warehouse";"Urbanek (Stiivi)";39
219;"How to improve Your Work and Private Life with Agile";"Kristian Rother=
 (k_rother)";723
220;"EuroPython 2015 - Let's build it together";"Marc-Andre Lemburg (lembur=
g)";135
221;"Presenting the EuroPython Society (EPS)";"Marc-Andre Lemburg (lemburg)=
";135
222;"Using iPython Notebook in higher Education";"Anders (redorlik)";744
223;"Bubbles =E2=80=93 Data Processing with Dynamic Dispatch";"Urbanek (Sti=
ivi)";39
224;"EuroPython Society General Assembly";"Marc-Andre Lemburg (lemburg)";135
225;"Distribute your prints over the net with Python";"St=C3=A9phane Wirtel=
 (matrixise)";759
226;"Introduction to pytest";"Andreas Pelme (pelme)";757
227;"Interactive experiments in sound synthesis with Nsound, numpy and matp=
lotlib";"Christopher Arndt (SpotlightKid)";419
228;"Writing multi-language documentation using Sphinx";"Markus Zapke-Gr=C3=
=BCndemann (keimlink)";572
229;"Stackless: Recent advancements and future goals";"ctismer";656
230;"Conversing with people living in poverty";"Simon Cross (hodgestar)";754
231;"How to become a software developer in science?";"Magdalena Rother (len=
am)";353
232;"The Ubiquitous Larch";"Geoffrey French (Brittix1023)";748
233;"Probabilistic Programming in Python";"Thomas Wiecki (twiecki)";761
234;"Testing Django without big fuss";"Markus Zapke-Gr=C3=BCndemann (keimli=
nk)";572
235;"How to make a full fledged REST API with Django OAuth Toolkit";"synasi=
us";110
236;"Python Packaging 101";"Markus Zapke-Gr=C3=BCndemann (keimlink)";572
237;"Python and R in The Cloud";"Karim Chine (kchine)";758
238;"Data Matching and Big Data Deduping in Python";"Nikit Saraf (nikitsara=
f)";207
239;"Identifying Bugs Before Runtime With Jedi";"David Halter (davidhalter)=
";746
240;"Introduction to Django";"Markus Zapke-Gr=C3=BCndemann (keimlink)";572
241;"LatchPony: Python ACL";"Rob Collins (agiledata)";651
242;"TIG - An automatic binding generator for C APIs";"Martin Siggel (marti=
nsiggel)";725
243;"Metaprogramming, from decorators to macros";"andrea crotti (andrea_cro=
tti)";251
244;"Generators, or how to step to infinity and beyond";"andrea crotti (and=
rea_crotti)";251
245;"Python on the Parallella";"Sarah Mount (snim2)";213
246;"Message-passing concurrency for Python";"Sarah Mount (snim2)";213
247;"Hy the Pythonic Lisp...";"Joe H. Rahme (rahmu)";243
248;"Get familiar with the OpenStack API";"Joe H. Rahme (rahmu)";243
249;"Postgres Performance for Humans";"craigkerstiens";763
250;"EPFL: Build their tools - FAST!";"Gunter Bach (gbach)";291
251;"pymove3D - Python moves the world - Attractive programming for young p=
eople.";"Reimar Bauer (ReimarBauer)";5
252;"pymove3D - Python moves the world - Attractive programming for young p=
eople.";"Reimar Bauer (ReimarBauer)";5
253;"Asynchronous Web-Programming with Tornado";"Anton (anton)";805
254;"Generating Pyramid application from a business process model";"Vincent=
 Fretin (vincentfretin)";811
255;"Practical PyBuilder";"Maximilien Riehl (mriehl)";816
256;"GPG-Keysigning-Party";"kampfschlaefer";818
257;"The inner guts of Bitbucket";"Erik van Zijst (erikvanzijst)";821
258;"GreatData with Python: a re-introduction";"aroldo";826
259;"Introduction to Sage";"Arvind (arvindsraj)";819
260;"Web development design patterns: Going beyond the MVC";"peristeri";833
261;"Business Intelligence Through Networks";"Juan BC (jbcabral)";832
262;"Working with graphs using networkx";"Arvind (arvindsraj)";819
263;"Push your app into Cocaine cloud";"Anastasia (imalingerer)";840
264;"Push your app into Cocaine cloud";"Anastasia (imalingerer)";840
265;"Templates for everyone";"Walter D=C3=B6rwald (doerwalter)";426
267;"Python and network traffic";"F. Manfredi (manfred)";236
268;"PISA a data block replication framework";"F. Manfredi (manfred)";236
269;"RestFS the Cloud Storage";"F. Manfredi (manfred)";236
270;"Iterators, Generators and Decorators";"Mike M=C3=BCller (mike)";13
271;"Faster Python Programs through Optimization";"Mike M=C3=BCller (mike)"=
;13
272;"Developing Scientific Simulation Systems - From Use Case to Generaliza=
tion ";"Mike M=C3=BCller (mike)";13
273;"Acceptance testing with Robot Framework";"Jussi Malinen (jussi.ao.mali=
nen)";846
274;"Learning Robot Framework Hands-On";"Jussi Malinen (jussi.ao.malinen)";= 846
275;"Privacy preserving record linkage in Python";"duncan smith (urubu)";847
276;"Building a storage engine in Python for storing malware and malicious =
data";"Enrico Branca (ebranca)";848
277;"Tweaking libraries as a step towards secure programming";"Enrico Branc=
a (ebranca)";848
278;"High-Performance Django";"Christophe Pettus (xof)";359
279;"PostgreSQL for Python People";"Christophe Pettus (xof)";359
280;"The World of Python Data Storage";"Christophe Pettus (xof)";359
281;"pyrana: ffmpeg made pythonic";"Francesco Romani (fromani)";128
282;"Caching Django websites with Memcached";"Avani (avani9330)";830
283;"Kamaelia: Revisited";"riot";378
284;"Hackerfleet - Opensource marine equipment and community";"riot";378
285;"An introduction to Machine learning with Scikit-learn";"Ga=C3=ABl Varo=
quaux (GaelVaroquaux)";853
286;"Calling the telephone network with Python";"Hallett (phalt)";206
287;"""Test-driven-everything"" for small business";"kampfschlaefer";818
288;"Using asyncio (aka Tulip) for home automation";"Dougal Matthews (douga=
l)";131
289;"Fun with Python and data";"Maciek Gryka (grrycz)";456
290;"The Magic of Attribute Access";"Petr Viktorin (encukou)";606
291;"Fun with cPython memory allocator";"oinopion";471
292;"Marconi - OpenStack Queuing and Notification Service";"ykaplan";855
293;"LDAP as a Database Backend";"Petr Viktorin (encukou)";606
294;"Teaching Python";"robert (lehmannro)";391
295;"Twisted Names: DNS Building Blocks for Python Programmers";"Richard Wa=
ll (rwall)";294
296;"Pythonic remote execution and configuration management";"Oliver Bestwa=
lter (obestwalter)";850
297;"Create an application in Django";"X. Ordoquy (linovia)";188
298;"Get legacy Django app. Build startup (fast).";"Samuel Fuentes (samufue=
ntes)";854
299;"Green Celery and the Async Sweet Spot";"Wes Mason (1stvamp)";340
300;"Stormy Webber - Tornado for everyone";"Wes Mason (1stvamp)";340
301;"Classroom-Based Integration of Text-Messaging in Mathematics Teaching-=
Learning Process ";"Dolph Aunzo (dolphaunzo)";861
302;"PopEye: Python in  the world of Biological Anthropology";"Celia (celia=
cintas)";55
303;"Writing RESTful services with Flask";"Victor Miclovich (miclovich)";149
304;"How spawning many processes sequentially can kill performance";"Dirk B=
aechle (dirkbaechle)";938
305;"ConnectX: The Serial Emulator Application";"Sagar Suhas Joshi (sagarsj=
oshi94)";986
306;"pypet: a Python Toolkit for Simulations and Numerical Experiments";"Ro=
bert (SmokinCaterpillar)";1027
307;"mystic: a python framework for uncertainty quantification and risk";"M=
ike McKerns (mmckerns)";1029
308;"Software Collections and Python";"Langdon White (langdon)";1031 
